student_id,class,gender,state,socioeconomic_score,family_income_category,distance_from_school_km,num_siblings,parents_education,is_first_gen_learner,has_elder_sibling_dropped,child_labour_involved,seasonal_migration,health_issues,prev_year_attendance,current_attendance,midterm_score,final_score_prev_year,score_trend,failed_prev_year,repeated_class,teacher_student_ratio,school_has_midday_meal,school_has_toilet,dropout_risk_score,dropout_risk_label,dropout
STU0001,7,Male,Rajasthan,1.22,Below Poverty Line,2.5,3,Primary,1,1,0,0,1,32.6,27.3,86.2,64.6,21.6,0,0,56,1,1,50.38,Medium,0
STU0002,10,Male,Odisha,1.84,Below Poverty Line,0.5,1,Secondary,0,1,1,0,1,52.8,58.6,38.0,23.6,14.5,1,1,43,1,1,81.26,High,1
STU0003,9,Female,Odisha,3.41,Low Income,2.4,1,Primary,0,1,0,0,0,58.2,48.7,58.3,54.8,3.5,0,0,31,1,1,55.98,Medium,0
STU0004,8,Male,UP,6.0,Low Income,1.9,1,Primary,0,0,1,0,0,64.8,49.1,74.8,91.5,-16.7,0,0,64,1,1,22.52,Low,0
STU0005,6,Male,Telangana,1.68,Below Poverty Line,3.4,1,Illiterate,1,0,0,0,1,79.6,67.1,45.6,55.9,-10.2,0,0,36,0,0,34.54,Low,0
STU0006,6,Female,UP,3.19,Low Income,2.3,4,Graduate,0,1,0,0,1,55.9,68.0,67.2,41.0,26.1,0,0,45,1,1,38.92,Low,0
STU0007,6,Male,Bihar,2.0,Below Poverty Line,0.5,2,Graduate,1,1,0,0,0,40.0,28.5,54.4,27.6,26.7,1,1,51,1,1,60.15,Medium,0
STU0008,10,Female,Bihar,1.53,Below Poverty Line,20.5,1,Secondary,0,0,0,0,0,70.3,64.1,76.4,28.2,48.3,1,1,57,1,1,55.42,Medium,0
STU0009,8,Male,MP,3.77,Low Income,3.1,5,Illiterate,1,0,0,1,1,57.1,47.7,31.9,67.1,-35.2,0,0,61,1,1,69.96,High,1
STU0010,9,Male,Telangana,1.41,Below Poverty Line,2.6,3,Primary,1,0,0,0,0,65.6,48.2,35.1,50.6,-15.5,0,0,36,1,1,35.34,Low,0
STU0011,6,Male,Telangana,3.84,Low Income,12.4,1,Primary,0,0,0,0,1,38.1,25.7,60.0,52.0,8.0,0,0,51,0,1,41.85,Medium,0
STU0012,10,Male,Bihar,4.17,Low Income,0.7,4,Graduate,0,0,0,0,0,64.6,46.6,56.7,50.7,6.0,0,0,31,1,1,39.08,Low,0
STU0013,9,Female,MP,2.01,Below Poverty Line,0.8,5,Graduate,0,0,0,0,0,77.5,82.1,54.0,55.6,-1.6,0,0,37,1,0,34.1,Low,0
STU0014,6,Male,UP,3.26,Low Income,6.6,0,Secondary,0,0,0,0,0,87.0,83.0,65.4,37.1,28.2,0,0,36,1,1,21.73,Low,0
STU0015,6,Female,MP,7.29,Middle Income,1.2,0,Illiterate,1,1,0,0,0,21.6,41.4,38.2,63.4,-25.1,0,0,50,0,1,39.78,Low,0
STU0016,6,Male,UP,0.46,Below Poverty Line,6.4,2,Graduate,0,1,1,0,1,44.2,32.1,30.4,33.8,-3.5,1,1,51,1,1,97.38,High,1
STU0017,7,Male,Jharkhand,2.66,Below Poverty Line,1.3,0,Primary,1,1,0,0,0,77.7,64.1,46.0,45.2,0.8,0,0,64,1,1,35.02,Low,0
STU0018,8,Female,Jharkhand,6.92,Middle Income,0.5,1,Secondary,1,0,1,0,0,68.5,78.8,48.0,75.2,-27.2,0,0,47,1,1,28.16,Low,0
STU0019,7,Male,UP,4.04,Low Income,2.9,4,Primary,0,0,0,0,1,74.7,80.3,49.9,64.4,-14.5,0,0,38,1,1,30.74,Low,0
